timestamp;message
3:15  PM; Chris R.  MICHEQUEE MALACHEIA!!! CADA UM EXPLORA COM O QUE PODE!!! AHAHAHA
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; teca jardim   .  VIDA DE GADO.
3:15  PM; Josué Nascimento  TOC TOC TOC
3:15  PM; Luiz Augusto Ramos da Silva  QUANTOS BANDIDOS CABEM NA PAULISTA   
3:15  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:15  PM; Klebson Carmo  Comovente o discurso, nota: dó!
3:15  PM; TiadeSobrinas andCamilo  PUBLICO
3:15  PM; CHAFUNDEFÓRNIO  A GLOBE PIRA KKKK
3:15  PM; Lu Santos  Os canhotos estão pistolas kkk
3:15  PM; Cidadão Comum  MALACHEIA LADRÃO DE DÍZIMO!!!
3:15  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:15  PM; Rosilda Coelho  Micheque ou Mijoias falando 
3:15  PM; R. F.  Micheque p... da vida, o maquiador está esperando
3:15  PM; Marcio Renan  Como Malafaia pagou    Fica a dica de investigação
3:15  PM; Ana Santana  mito e Israel Lula e Hamas.sem.mais
3:15  PM; ninha  LADRAOOOOOOOO
3:15  PM; dulcimar fernandes venancio  o povo cansou!
3:15  PM; Wallace Carvalho oficial  Av. Paulista lotada (yotub SILAS MALAFAIA OFICIAL) 180 mil assistindo, contra 45 assistindo Lula na Tv GOV kkkkkkkkk
3:15  PM; Homem  FOI ESSE QUE PERDEU A ELEIÇÃO 
3:15  PM; Daubi Piccoli  QUANTO BANDID@$ JUNT@$!
3:15  PM; O amor prevalece  MANIFESTAÇÃO DO DESESPERO 
3:15  PM; TiadeSobrinas andCamilo  VE JAM A
3:15  PM; Jomara Teixeira  NÃO PODE SAIR COM TORNOZELEIRA, PROIBIDO  NA PAULISTA
3:15  PM; teca jardim   .  VIDA DE GADO.
3:15  PM; rafael barata  NOVA ROTA BOVINA BRASILEIRA         
3:15  PM; Ramlig ordizi  cadeia
3:15  PM; Yury Alester  kkkkkkkk cadeia pra ele
3:15  PM; Alex Brasil  #FORALULE
3:15  PM; Helena Lopes  idolatria a o homem não a Jesus cristo 
3:15  PM; Carlos Depolito  lixo cnn
3:15  PM; Delcy De Jesus Silva  se recolhe petistas
3:15  PM; MARCOS CURI  MITO, MITO, MITO, MITO, MITO, MITO
3:15  PM; Vera Martins  MICHEQUE COM SAUDADE DO MAQUIADOR.
3:15  PM; Wallace Carvalho oficial  Av. Paulista lotada (yotub SILAS MALAFAIA OFICIAL) 180 mil assistindo, contra 45 assistindo Lula na Tv GOV kkkkkkkkk
3:16  PM; TiadeSobrinas andCamilo  PHOTO
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Ramlig ordizi  cadeia
3:16  PM; Jomara Teixeira  QUEM QUER VOTO IMPRESSO VAI PARA ARGENTINA
3:16  PM; Daubi Piccoli  QUANTO BANDID@$ JUNT@$!
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; The Guiller  michele já ta no palco falando
3:16  PM; Nick Iva  VAI SER PRESO
3:16  PM; laura tesla  enche a Paulista lularapio
3:16  PM; Dinho_Bdf  cadê as jóias presidenciais gadinhos
3:16  PM; Karla Prado  Esse Bolsonaro tá querendo o que  E o gado tá fazendo o que nas ruas 
3:16  PM; Gedielson Pereira de Araujo  QUEM COMETEU CR1ME QUE PAGUE POR ELES 
3:16  PM; teca jardim   .  VIDA DE GADO.
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Fabiano Araujo  Bolsonaro 666
3:16  PM; Fabio Lameira  JORDI INVESTIGADO AO LADO DO BOLSONARO KKKKKKKKKK
3:16  PM; Mariza Andrade  ressuscitar    
3:16  PM; Ricardo Barroso  LulaDrão
3:16  PM; Alexsandro Loures  galera o presidente é o Lula ele que comanda o Brasil
3:16  PM; Daubi Piccoli  QUANTO BANDID@$ JUNT@$!
3:16  PM; Paula Rodrigues  ladrão,
3:16  PM; Otávio Almeida  MITO MITO MITO
3:16  PM; Wallace Carvalho oficial  Av. Paulista lotada (yotub SILAS MALAFAIA OFICIAL) 180 mil assistindo, contra 45 assistindo Lula na Tv GOV kkkkkkkkk
